segment_id,dialogue_id,dialogue_title,direction_before,direction_after,old_hindi,new_hindi
original-001-s01,original-001,Admission in a Course,en,en,"नमस्ते, सुप्रभात। मैं आपकी कैसे सहायता कर सकती हूँ।",नमस्ते! सुप्रभात! मैं आपकी कैसे सहायता कर सकती हूँ?
original-001-s02,original-001,Admission in a Course,hi,hi,"सुप्रभात। मैं आपके पाठ्यक्रमों के बारे में पूछताछ करना चाहती हूँ जो आप अपनी संस्था में प्रदान कर रहे हैं। मेरे एक मित्र ने मुझे आपकी संस्था के बारे में बताया था, क्योंकि उसका यहाँ के शिक्षकों के साथ काफ़ी अच्छा अनुभव था।","सुप्रभात! मैं आपके संस्थान में उपलब्ध पाठ्यक्रमों के बारे में पूछताछ करना चाहती हूँ। मेरी एक मित्र ने मुझे आपके संस्थान के बारे में बताया था, क्योंकि यहाँ के शिक्षकों के साथ उसका बहुत अच्छा अनुभव रहा है।"
original-001-s03,original-001,Admission in a Course,en,en,यह जानकर खुशी हुई की हम आपके मित्र की उम्मीदों पर खरे उतरे। ठीक है मैदम। हमारे पास तीन अलग-अलग पाठ्यक्रम हैं। आप बस इस पत्रिक के को पद्ध लेइन फिर मैं आपको आगे का विवरन दे दूँगी। क्या आप मुझे अपनी आवश्यकतेन बता सकते हैं ताकि मैं आपके लिए सबसे उप्प्युक्त पाठ्यक्रम का सुझाव दे सकून।,"यह जानकर खुशी हुई कि हम आपकी मित्र की अपेक्षाओं पर खरे उतरे। ठीक है मैडम, हमारे पास तीन अलग-अलग पाठ्यक्रम हैं। आप पहले यह विवरण-पत्र देख लें, फिर मैं आपको और जानकारी दूँगी। कृपया अपनी आवश्यकताएँ बताइए, ताकि मैं आपके लिए सबसे उपयुक्त पाठ्यक्रम सुझा सकूँ।"
original-001-s04,original-001,Admission in a Course,hi,hi,मैं अपनी सार्वजनिक बोल्ने के कौशल में सुधार करना चाहती हूँ और मैं अंग्रेज़ी व्याकरन का अवलोकन भी चाहती हूँ। क्या आपके पास कोई ऐस पाठ्यक्रम है जो मेरी दोनोन आवश्यकतओन को पूर करत है।,मैं अपने सार्वजनिक बोलने के कौशल में सुधार करना चाहती हूँ और अंग्रेज़ी व्याकरण की भी जानकारी लेना चाहती हूँ। क्या आपके पास ऐसा कोई पाठ्यक्रम है जो मेरी दोनों आवश्यकताओं को पूरा करता हो?
original-001-s05,original-001,Admission in a Course,en,en,"हमारे पास आपके लिए एक आदर्श पाठ्यक्रम है जिसे भाश और सामाजिक कौशल कहा जात है। इस पाठ्यक्रम में, हम सन्चार कौशल, साक्षात्कार और नौकरी कौशल, प्रस्तुति और व्यक्तित्व विकास करेन्गेय।","हमारे पास आपके लिए एक उपयुक्त पाठ्यक्रम है, जिसका नाम भाषा और सामाजिक कौशल है। इसमें संचार कौशल, साक्षात्कार और नौकरी से जुड़े कौशल, प्रस्तुति तथा व्यक्तित्व विकास शामिल हैं।"
original-001-s06,original-001,Admission in a Course,hi,hi,"क्या मुझे इस पाठ्यक्रम के लिए कोई किताब मिलेगी। यदि हाँ, तो कहाँ से और कितने की।","क्या मुझे इस पाठ्यक्रम के लिए कोई किताब मिलेगी? यदि हाँ, तो वह कहाँ से मिलेगी और उसकी कीमत कितनी होगी?"
original-001-s07,original-001,Admission in a Course,en,en,"नहीं महोदय। पाथ्यपुस्तकोन पर ध्यान देने के बजाय हम व्यावहारिक पहलुओन पर जोर देते हैं। आपको समूह चर्च, वाद-विवाद, प्रस्तुतियोन और भाशन सत्रोन में भाग लेने के लिए प्रोत्साहित किया जेग। वेह्ह वातावरन आपको प्रदान किया जेग ताकि आप अपने सार्वजनिक बोलने के कौशल को बेहतर बन सकेन।","नहीं मैडम। हम पाठ्यपुस्तकों की बजाय व्यावहारिक अभ्यास पर अधिक ध्यान देते हैं। आपको समूह चर्चा, वाद-विवाद, प्रस्तुति और भाषण सत्रों में भाग लेने के लिए प्रोत्साहित किया जाएगा। ऐसा वातावरण दिया जाएगा, जिससे आप अपने सार्वजनिक बोलने के कौशल को बेहतर बना सकें।"
original-001-s08,original-001,Admission in a Course,hi,hi,बिल्कुल सही। तो मैं कब अपन नामान्कन कर सकती हूँ। और इस पाठ्यक्रम की अवधि क्या है।,बिल्कुल सही! तो मैं नामांकन कब कर सकती हूँ? और इस पाठ्यक्रम की अवधि कितनी है?
original-001-s09,original-001,Admission in a Course,en,en,आज से शुरू करते हैं। हम आपकी प्रवेश औपचारिकतओन को पूर करेंगे और फिर कल से हम आपका पेह्ल सत्र शुरू करेंगे। और आपके दूसरे प्रश्न का उत्तर है की यह पाठ्यक्रम 6 महीने तक चलेग।,हम आज से ही प्रक्रिया शुरू कर सकते हैं। आज आपकी प्रवेश संबंधी औपचारिकताएँ पूरी करेंगे और कल आपका पहला सत्र शुरू होगा। आपके दूसरे प्रश्न का उत्तर यह है कि यह पाठ्यक्रम छह महीने का है।
original-001-s10,original-001,Admission in a Course,hi,hi,ठीक है। क्या आपको इसके लिए किसी दस्तावेज की आवश्यकत है। और क्षमा करें मैं सबसे ज़रूरी प्रश्न पूछन भूल गई। इस पाठ्यक्रम का शुल्क क्या है।,"ठीक है! क्या इसके लिए आपको किसी दस्तावेज़ की आवश्यकता है? और क्षमा कीजिए, मैं सबसे ज़रूरी प्रश्न पूछना भूल गई। इस पाठ्यक्रम का शुल्क कितना है?"
