Dialogue ID,Library,Title,Segments,V21.3 action,Recent source reported
dialogue-001,Verified Practice,Admission in a Course,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-002,Verified Practice,Applying for a Job,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-003,Verified Practice,Applying for a Heavy Vehicle Licence,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-004,Verified Practice,ATO Tax Lodgement,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-005,Verified Practice,Australian Citizenship,21,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-006,Verified Practice,Bank Robbery,15,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-007,Verified Practice,Bullying at School,13,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-008,Verified Practice,Starting a Milk Processing Business,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-009,Verified Practice,Buying a Ticket,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-010,Verified Practice,Car Insurance for a Student,18,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-011,Verified Practice,Car Insurance,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-012,Verified Practice,Catering Booking,11,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-013,Verified Practice,CCTV in School,9,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-014,Verified Practice,Centrelink Carer Payment,17,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-015,Verified Practice,Child Care Subsidy,9,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
dialogue-016,Verified Practice,Child Care Subsidy 2,12,Rebuilt as distinct topic-specific bilingual practice dialogue; existing IDs preserved,No
