ID,Topic,English,Hindi,Difficulty,Part of speech,Source type,Dialogue links
hea-001,Health,appointment,अपॉइंटमेंट या मिलने का समय,,,original-core,
hea-002,Health,symptom,लक्षण,,,original-core,
hea-003,Health,nausea,जी मिचलाना,,,original-core,
hea-004,Health,vomiting,उल्टी,,,original-core,
hea-005,Health,headache,सिरदर्द,,,original-core,
hea-006,Health,migraine,माइग्रेन,,,original-core,
hea-007,Health,fever,बुखार,,,original-core,
hea-008,Health,stiff neck,गर्दन में अकड़न,,,original-core,
hea-009,Health,pain,दर्द,,,original-core,
hea-010,Health,severe,गंभीर या तेज,,,original-core,
hea-011,Health,persistent,लगातार रहने वाला,,,original-core,
hea-012,Health,remedy,उपचार या घरेलू उपाय,,,original-core,
hea-013,Health,diagnosis,निदान,,,original-core,
hea-014,Health,diagnostic test,नैदानिक जाँच,,,original-core,
hea-015,Health,blood test,रक्त जाँच,,,original-core,
hea-016,Health,pathology laboratory,पैथोलॉजी प्रयोगशाला,,,original-core,
hea-017,Health,blood sample,रक्त का नमूना,,,original-core,
hea-018,Health,test result,जाँच का परिणाम,,,original-core,
hea-019,Health,prescription,चिकित्सकीय पर्चा,,,original-core,
hea-020,Health,prescribe,दवा लिखना,,,original-core,
hea-021,Health,medicine,दवा,,,original-core,
hea-022,Health,tablet,गोली,,,original-core,
hea-023,Health,dose,खुराक,,,original-core,
hea-024,Health,dosage,दवा की मात्रा,,,original-core,
hea-025,Health,paracetamol,पैरासिटामोल,,,original-core,
hea-026,Health,side effect,दुष्प्रभाव,,,original-core,
hea-027,Health,allergy,एलर्जी,,,original-core,
hea-028,Health,medical history,चिकित्सकीय इतिहास,,,original-core,
hea-029,Health,family history,पारिवारिक चिकित्सकीय इतिहास,,,original-core,
hea-030,Health,specialist,विशेषज्ञ चिकित्सक,,,original-core,
hea-031,Health,referral,रेफरल / विशेषज्ञ के पास भेजने का पत्र,,,original-core,
hea-032,Health,general practitioner,सामान्य चिकित्सक,,,original-core,
hea-033,Health,clinic,क्लिनिक,,,original-core,
hea-034,Health,hospital,अस्पताल,,,original-core,
hea-035,Health,emergency department,आपातकालीन विभाग,,,original-core,
hea-036,Health,ambulance,एम्बुलेंस,,,original-core,
hea-037,Health,health insurance,स्वास्थ्य बीमा,,,original-core,
hea-038,Health,Medicare card,मेडिकेयर कार्ड,,,original-core,
hea-039,Health,bulk billing,बिना अग्रिम भुगतान की मेडिकेयर बिलिंग,,,original-core,
hea-040,Health,medical certificate,चिकित्सकीय प्रमाणपत्र,,,original-core,
hea-041,Health,sick leave,बीमारी की छुट्टी,,,original-core,
hea-042,Health,recover,स्वस्थ होना,,,original-core,
hea-043,Health,rest,आराम,,,original-core,
hea-044,Health,hydration,पर्याप्त पानी लेना,,,original-core,
hea-045,Health,dehydration,शरीर में पानी की कमी,,,original-core,
hea-046,Health,infection,संक्रमण,,,original-core,
hea-047,Health,inflammation,सूजन,,,original-core,
hea-048,Health,swelling,सूजन / उभार,,,original-core,
hea-049,Health,injury,चोट,,,original-core,
hea-050,Health,treatment,इलाज,,,original-core,
hea-051,Health,follow-up,दोबारा जाँच / फॉलो-अप,,,original-core,
hea-052,Health,monitor,निगरानी करना,,,original-core,
hea-053,Health,condition,स्वास्थ्य स्थिति,,,original-core,
hea-054,Health,chronic,दीर्घकालिक,,,original-core,
hea-055,Health,acute,अचानक और गंभीर,,,original-core,
hea-056,Health,screening,प्रारम्भिक जाँच,,,original-core,
hea-057,Health,consent,सहमति,,,original-core,
hea-058,Health,confidential,गोपनीय,,,original-core,
hea-059,Health,medical record,चिकित्सकीय रिकॉर्ड,,,original-core,
hea-060,Health,pharmacy,दवा की दुकान / फार्मेसी,,,original-core,
hea-061,Health,anaesthetic,बेहोशी की दवा,advanced,term,curated-direct,
hea-062,Health,antibiotic,प्रतिजैविक दवा,intermediate,term,curated-direct,
hea-063,Health,antibody,प्रतिरक्षी,advanced,term,curated-direct,
hea-064,Health,antigen,प्रतिजन,advanced,term,curated-direct,
hea-065,Health,catheter,कैथेटर,advanced,term,curated-direct,
hea-066,Health,check-up,स्वास्थ्य जाँच,foundation,term,curated-direct,dialogue-023
hea-067,Health,complication,जटिलता,intermediate,term,curated-direct,
hea-068,Health,constipation,कब्ज़,foundation,term,curated-direct,dialogue-076
hea-069,Health,consultation,परामर्श,intermediate,term,curated-direct,
hea-070,Health,diarrhoea,दस्त,foundation,term,curated-direct,
hea-071,Health,dizziness,चक्कर आना,foundation,term,curated-direct,
hea-072,Health,epidemic,महामारी,advanced,term,curated-direct,
hea-073,Health,fatigue,थकान,foundation,term,curated-direct,
hea-074,Health,immunisation,टीकाकरण,foundation,term,curated-direct,dialogue-041
hea-075,Health,laboratory,प्रयोगशाला,foundation,term,curated-direct,dialogue-025
hea-076,Health,miscarriage,गर्भपात,intermediate,term,curated-direct,
hea-077,Health,pathology,रोग-विज्ञान,advanced,term,curated-direct,
hea-078,Health,poisoning,विषाक्तता,intermediate,term,curated-direct,dialogue-076
hea-079,Health,procedure,चिकित्सीय प्रक्रिया,intermediate,term,curated-direct,
hea-080,Health,surgery,शल्य चिकित्सा,foundation,term,curated-direct,
hea-081,Health,ultrasound,अल्ट्रासाउंड,foundation,term,curated-direct,
hea-082,Health,vaccination,टीका लगाना,foundation,term,curated-direct,dialogue-041
hea-083,Health,vaccine,टीका,foundation,term,curated-direct,dialogue-041
hea-084,Health,x-ray,एक्स-रे,foundation,term,curated-direct,
