dialogue_id,dialogue_title,segment_number,segment_id,direction,source,sample_answer,short_notes,note_skill,meaning_checklist,content_status
dialogue-001,Admission in a Course,1,dialogue-001-s01,English to Hindi,Hi! Good morning! How can I help you?,"नमस्ते, शुभ उदय. मैं आपकी कैसे सहायता कर सकि हूँ?",Hi | greeting | help?,Add ? for the question or request.,Hi | greeting | help?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,2,dialogue-001-s02,Hindi to English,"शुभ उदय! मैं आपके कोउर्सेस के बारे में पूच्ताच करना चाहती हूँ जो आप अप्नि संस्था में प्रदान कर रहे हैं. मेरे एक मित्र ने मुझे आपकी संस्था के बारे में बताया था, क्योंकि उसका याहन के शिक्षकोन के साथ कफ़ि अच्छा अनुभव था.","Good morning! I just want to get an enquiry regarding your courses which you are offering at your institute. One of my friends referred your institute to me, as she had a very good experience with the faculty here.",greeting | want get enquiry regarding | One friends referred inst,Capture who + action + key detail; avoid full sentences.,greeting | want get enquiry regarding | One friends referred inst,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,3,dialogue-001-s03,English to Hindi,"Glad to know that we came up to your friend’s expectations! Ok ma’am! So, we have three different courses. You can just go through this leaflet then I will give you further details. Could you please tell me your requirements so that I can suggest the best suitable course for you?",यह जानकर खुशी हुई की हम आपके मित्र की उम्मीदोन पर खरे उतरे! ठीक है मैदम! हमारे पास तीन अलग-अलग पाठ्यक्रम हैं. आप बस इस पत्रिक के को पद्ध लेइन फिर मैं आपको आगे का विवरन दे दूँगी. क्या आप मुझे अप्नि आवश्यकतेन बता सकते हैं ताकि मैं आपके लिए सबसे उप्प्युक्त पाठ्यक्रम का सुझाव दे सकून?,Glad know came friend | Ok ma | three different courses | go leaflet give further | me reqs suggest course?,Add ? for the question or request.,Glad know came friend | Ok ma | three different courses | go leaflet give further,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,4,dialogue-001-s04,Hindi to English,मैं अप्नि सार्वजनिक बोल्ने के कौशल में सुधार करना चाहति हूँ और मैं अन्ग्रेजी व्याकरन का अवलोकन भी चाहती हूँ. क्या आपके पास कोई ऐस पाठ्यक्रम है जो मेरी दोनोन आवश्यकतओन को पूर करत है?,I want to improve my public speaking skills and I also want an overview of English grammar. Do you have any such course which covers both of my requirements?,want improve public English | course covers both reqs?,Add ? for the question or request.,want improve public English | course covers both reqs?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,5,dialogue-001-s05,English to Hindi,"We have a perfect course for you which is called Language and Social Skills. In this course, we will cover communication skills, interview and job skills, presentation and personality development.","हमारे पास आपके लिए एक आदर्श पाठ्यक्रम है जिसे भाश और सामाजिक कौशल कहा जात है. इस पाठ्यक्रम में, हम सन्चार कौशल, साक्षात्कार और नौकरी कौशल, प्रस्तुति और व्यक्तित्व विकास करेन्गेय.",course Language Social Skills | course cover communication job,Capture who + action + key detail; avoid full sentences.,course Language Social Skills | course cover communication job,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,6,dialogue-001-s06,Hindi to English,"क्या मुझे इस पाठ्यक्रम के लिए कोई किताब मिलेगी? यदि हाँ, तो कहाँ से और कितने की?","Will I get any book for this course? If yes, from where and for how much?",get book course? | yes?,Mark conditions and obligation words; Add ? for the question or request.,get book course? | yes?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,7,dialogue-001-s07,English to Hindi,"No ma’am. Instead of focusing on textbooks we lay emphasis on practical aspects. You will be encouraged to participate in group discussions, debates, presentations and speech sessions. That environment will be provided to you so that you can hone your public speaking skills.","नहीं महोदय. पाथ्यपुस्तकोन पर ध्यान देने के बजाय हम व्यावहारिक पहलुओन पर जोर देते हैं. आपको समूह चर्च, वाद-विवाद, प्रस्तुतियोन और भाशन सत्रोन में भाग लेने के लिए प्रोत्साहित किया जेग. वेह्ह वातावरन आपको प्रदान किया जेग ताकि आप अपने सार्वजनिक बोलने के कौशल को बेहतर बन सकेन.",ma | Instead focusing textbooks lay | encouraged participate group discussions | environment provided hone public,Use old → new and write both details; Mark NOT or × clearly.,ma | Instead focusing textbooks lay | encouraged participate group discussions | environment provided hone public,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,8,dialogue-001-s08,Hindi to English,बिल्कुल सही! तो मैं कब अपन नामान्कन कर सकति हूँ? और इस पाठ्यक्रम की अवधि क्या है?,Perfect then! So when can I enroll myself? And what is the duration of this course?,Perfect | enroll? | duration course?,Add ? for the question or request.,Perfect | enroll? | duration course?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,9,dialogue-001-s09,English to Hindi,Let’s start from today. We will complete your admission formalities and then tomorrow we will begin your first session. And the answer to your second question is that this course will last for 6 months.,आज से शुरू करते हैं. हम आपकी प्रवेश औपचारिकतओन को पूर करेंगे और फिर कल से हम आपका पेह्ल सत्र शुरू करेंगे. और आपके दूसरे प्रश्न का उत्तर है की यह पाठ्यक्रम 6 महीने तक चलेग.,Let start | complete admission formalities tomorrow | answer second question course,"Write numbers, dates and times exactly.",Let start | complete admission formalities tomorrow | answer second question course,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,10,dialogue-001-s10,Hindi to English,ठीक है! क्या आपको इसके लिए किसी दस्तावेज की आवश्यकत है? और क्षमा करें मैं सब्से ज़रूरी प्रश्न पूछन भूल गई. इस पाठ्यक्रम का शुल्क क्या है?,Okay! Do you require any documents for that? And sorry I forgot to ask the most important question. What is the fee for this course?,Okay | require docs? | sorry forgot important question | fee course?,Add ? for the question or request.,Okay | require docs? | sorry forgot important question | fee course?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,11,dialogue-001-s11,English to Hindi,"Yes. In order to enrol, you need to provide us one photograph and a copy of your ID as a proof of identity. The cost of this course is $2000. You can pay the amount in monthly instalments as well if you like.","जी हाँ. नमान्कन करने के लिए, आपको पहचान के प्रमाण के रूप में हमें एक तस्वीर और अपने पेह्चन दस्तावेज़ की एक प्रतिलिपि प्रदान करनि होगी. इस पाथ्य्क्रम के लिए आपको $2000 का भुग्ताब करना होगा. आप चाहेन तो मासिक किस्तोन में राशि का भुगतान कर सकति हैं.",Yes | order enrol need ID | cost course $2000 | pay amt monthly instalments,"Write numbers, dates and times exactly; Mark conditions and obligation words.",Yes | order enrol need ID | cost course $2000 | pay amt monthly instalments,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,12,dialogue-001-s12,Hindi to English,"यह बहुत सुविधाजनक है. ओह! दुर्भाग्य से, मेरे पास अभी अप्न पहचान दस्तावेज़ नहीं है. क्या मैं इसे कल ल सकती हूँ?","That’d be very convenient. Oh! Unfortunately, I am not carrying my ID proof right now. Can I bring it tomorrow?",convenient | Oh | Unfortunately carrying ID proof | bring tomorrow?,"Write numbers, dates and times exactly; Mark NOT or × clearly.",convenient | Oh | Unfortunately carrying ID proof | bring tomorrow?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-001,Admission in a Course,13,dialogue-001-s13,English to Hindi,No worries! You can submit it tomorrow at the reception. Is there anything else I can help you with today?,कोई चिंता नहीं! आप इसे कल रेकेप्तिओन पर जमा कर्व सकती हैं. क्या आज मैं आपकी कोई और मदद कर सकती हूँ?,worries | submit tomorrow reception | else help?,"Write numbers, dates and times exactly; Mark NOT or × clearly.",worries | submit tomorrow reception | else help?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-002,Applying for a Job,1,dialogue-002-s01,English to Hindi,"Hello, my name is Cindy. Welcome to GreenPaws Distribution. How can I help you?","नमस्ते, मेरा नाम सिंडी है। ग्रीनपॉज़ डिस्ट्रीब्यूशन में आपका स्वागत है। मैं आपकी कैसे सहायता कर सकती हूँ?",Hello name Cindy | Welcome GreenPaws Distribution | help?,Add ? for the question or request; Write names and identifiers exactly.,Hello name Cindy | Welcome GreenPaws Distribution | help?,Human-edited pilot dialogue
dialogue-002,Applying for a Job,2,dialogue-002-s02,Hindi to English,मेरा नाम निशा है। मैंने सुना है कि आपकी कंपनी बढ़ रही है। क्या अभी कोई नौकरी खाली है?,My name is Nisha. I heard that your company is expanding. Are there any job vacancies at the moment?,name Nisha | heard co expanding | job vacancies moment?,Add ? for the question or request; Write names and identifiers exactly.,name Nisha | heard co expanding | job vacancies moment?,Human-edited pilot dialogue
dialogue-002,Applying for a Job,3,dialogue-002-s03,English to Hindi,Yes. We need a warehouse assistant to pick and pack pet-food orders and help prepare deliveries.,"हाँ। हमें एक गोदाम सहायक चाहिए, जो पालतू पशुओं के भोजन के ऑर्डर चुने, पैक करे और डिलीवरी तैयार करने में मदद करे।",Yes | need warehouse assistant pick,Capture who + action + key detail; avoid full sentences.,Yes | need warehouse assistant pick,Human-edited pilot dialogue
dialogue-002,Applying for a Job,4,dialogue-002-s04,Hindi to English,यह काम मेरे अनुभव से मेल खाता है। मैंने पाँच साल तक सामान पहुँचाने के साथ उसे चुनने और पैक करने का काम किया है।,"This job matches my experience. For five years, I delivered goods and also picked and packed them.",job matches exp | five years delivered goods,Capture who + action + key detail; avoid full sentences.,job matches exp | five years delivered goods,Human-edited pilot dialogue
dialogue-002,Applying for a Job,5,dialogue-002-s05,English to Hindi,"That sounds relevant. Do you have an up-to-date résumé, and can you describe your most recent work in Australia?",यह अनुभव उपयोगी लगता है। क्या आपके पास अद्यतन रिज़्यूमे है और क्या आप ऑस्ट्रेलिया में अपने हाल के काम के बारे में बता सकती हैं?,sounds relevant | date sum? | describe recent work AU?,Add ? for the question or request.,sounds relevant | date sum? | describe recent work AU?,Human-edited pilot dialogue
dialogue-002,Applying for a Job,6,dialogue-002-s06,Hindi to English,"यह मेरा रिज़्यूमे है, लेकिन इसमें हाल की नौकरी नहीं जुड़ी है। मैंने छह महीने सनशाइन फल बाजार में ऑर्डर पैक किए हैं।","Here is my résumé, but it does not include my recent job. I packed orders at Sunshine Fruit Market for six months.",sum | include recent job | packed Sunshine Fruit Market,Mark NOT or × clearly.,sum | include recent job | packed Sunshine Fruit Market,Human-edited pilot dialogue
dialogue-002,Applying for a Job,7,dialogue-002-s07,English to Hindi,Please add that experience before applying. It will show that you understand Australian workplace expectations and make your application stronger.,आवेदन से पहले कृपया वह अनुभव जोड़ें। इससे पता चलेगा कि आप ऑस्ट्रेलियाई कार्यस्थल की अपेक्षाएँ समझती हैं और आपका आवेदन मजबूत होगा।,add exp before applying | show understand AU appl,Capture who + action + key detail; avoid full sentences.,add exp before applying | show understand AU appl,Human-edited pilot dialogue
dialogue-002,Applying for a Job,8,dialogue-002-s08,Hindi to English,मैं आज ही रिज़्यूमे अपडेट कर दूँगी। आवेदन की अंतिम तिथि क्या है और मुझे इसे कहाँ भेजना है?,"I will update my résumé today. What is the application closing date, and where should I send it?",update sum | appl closing date? | send?,Mark conditions and obligation words; Add ? for the question or request.,update sum | appl closing date? | send?,Human-edited pilot dialogue
dialogue-002,Applying for a Job,9,dialogue-002-s09,English to Hindi,"The role has not been advertised yet, so there is no closing date. Email your résumé and cover letter to the address on this card as soon as possible.","यह पद अभी विज्ञापित नहीं हुआ है, इसलिए कोई अंतिम तिथि नहीं है। जितनी जल्दी हो सके इस कार्ड के पते पर रिज़्यूमे और कवर लेटर ईमेल करें।",role advertised yet | closing date | Email sum addr ASAP,Mark NOT or × clearly.,role advertised yet | closing date | Email sum addr ASAP,Human-edited pilot dialogue
dialogue-002,Applying for a Job,10,dialogue-002-s10,Hindi to English,आवेदन भेजने के बाद आगे क्या होगा? क्या मुझे सीधे साक्षात्कार के लिए बुलाया जाएगा?,What will happen after I send the application? Will I be invited directly to an interview?,happen send appl? | invited directly interview?,Add ? for the question or request.,happen send appl? | invited directly interview?,Human-edited pilot dialogue
dialogue-002,Applying for a Job,11,dialogue-002-s11,English to Hindi,"Human Resources will review all applications. Only shortlisted candidates will be contacted for an interview, so an interview is not guaranteed.","मानव संसाधन विभाग सभी आवेदनों की समीक्षा करेगा। केवल चयनित उम्मीदवारों से साक्षात्कार के लिए संपर्क होगा, इसलिए साक्षात्कार की गारंटी नहीं है।",Human Resources review appls | shortlisted candidates contacted interview | interview guaranteed,Mark NOT or × clearly; Mark conditions and obligation words.,Human Resources review appls | shortlisted candidates contacted interview | interview guaranteed,Human-edited pilot dialogue
dialogue-002,Applying for a Job,12,dialogue-002-s12,Hindi to English,समझ गई। मैं दस्तावेज ठीक करके आज शाम आवेदन भेज दूँगी। जानकारी देने के लिए धन्यवाद।,I understand. I will correct the documents and send the application this evening. Thank you for the information.,understand | correct docs send appl | info,Capture who + action + key detail; avoid full sentences.,understand | correct docs send appl | info,Human-edited pilot dialogue
dialogue-003,Applying for a Truck's License,1,dialogue-003-s01,English to Hindi,Thank you for calling Vicroads! I am Lucy and how can I help you today?,विक्रोअद मैं संपर्क करने के लिए ध्यन्यवाद. मेरा नाम लुक्य है और मैं आपकी कैसे सहायता कर सकती हूँ?,calling Vicroads | Lucy help?,Add ? for the question or request.,calling Vicroads | Lucy help?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,2,dialogue-003-s02,Hindi to English,"सुभ प्रभत मैडम, मेरा नाम रम्निहै. मुझे ट्रक चलाने का लाइसेंस चाहिए.","Good morning Madam, My name i Ramni.I want to get a Truck's driving license",Madam name Ramni Truck's,Write names and identifiers exactly.,Madam name Ramni Truck's,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,3,dialogue-003-s03,English to Hindi,"Sure, to get a heavy vehicle licence you need to successfully complete a knowledge assessment and a practical assessment, including an on-road driving and an off-road skills assessment.","जी ज़रूर, भारि वहन का लाइसेंस लेने के लिए आपको सफ़ल्तपूर्वक ज्ञान का मोल्यन्कान और व्यावहारिक मूल्यान्कन पूर करना होगा,जिस्मेइन आपका सड़क पर और सड़क के बहर गाड़ी चलाने का कौशल मूल्यान्कन होगा.",Sure get lic need,Mark conditions and obligation words; Write names and identifiers exactly.,Sure get lic need,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,4,dialogue-003-s04,Hindi to English,"ठीक है.वैसे, 6 महीने पहले मुझे भारि वहन मान्यत प्राप्त प्र्दात से एक प्रमाण पत्र मिल था और मैंने सारे अनुखन्द प अर कर लिए है.","All right.By the way, I got a certificate from the Heavy Vehicle Accreditation Provider about 6 months ago and I have passed all the modules.",cert Heavy Vehicle Accreditation,"Write numbers, dates and times exactly.",cert Heavy Vehicle Accreditation,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,5,dialogue-003-s05,English to Hindi,"Right, so you must have met the evidence of identity criteria and passed all tests to get a heavy vehicle licence.","ठीक है, तो भारि वहन का लाइसेंस लेने के लिए, आपने पहचान के प्रमाण के माप्दन्द को पूर किया होगा और सभी निरीक्षनो को पार किया होगा.",Right | met evidence identity lic,Mark conditions and obligation words; Write names and identifiers exactly.,Right | met evidence identity lic,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,6,dialogue-003-s06,Hindi to English,ठीक है. यह परिनाम कितने समय के लिए वैध रहेन्गे?,Aright. For how long will these results be valid?,Aright | long results valid?,Add ? for the question or request.,Aright | long results valid?,Imported and machine-formatted from user material; bilingual review recommended.
dialogue-003,Applying for a Truck's License,7,dialogue-003-s07,English to Hindi,This assessment is valid for 12 months. An applicant who does not pay the necessary fees or satisfies evidence of identity requirements within 12 months of the issue of the Certificate of Competence must sit the tests again.,"यह मोल्यान्कान 12 महीने के लिए वैध है.जो आवेदक, सक्षम्त का प्रमाण पत्र जारि होने के बाद 12 महीने के भितर इसकी आवशक फ़ीस नहीं भर्त या पहचान के प्रमाण की ज़रूतोन को पूर नहीं कर्त, उसे फिर से निरीस्क्षन के लिए बैथ्न होगा.",assessment valid 12 months | applicant 12 cert Competence,"Write numbers, dates and times exactly; Mark NOT or × clearly.",assessment valid 12 months | applicant 12 cert Competence,Imported and machine-formatted from user material; bilingual review recommended.
