No,ID,Topic,English phrase,Hindi phrase,Words,Source,Dialogue IDs
1,hea-p-001,health,How can I help you today?,मैं आज आपकी कैसे सहायता कर सकता/सकती हूँ?,6,Core phrase library reviewed before V2.0.5,
2,hea-p-002,health,Please tell me your full name and date of birth.,कृपया अपना पूरा नाम और जन्मतिथि बताइए।,10,Core phrase library reviewed before V2.0.5,
3,hea-p-003,health,I have been feeling unwell for the last few days.,मैं पिछले कुछ दिनों से अस्वस्थ महसूस कर रहा/रही हूँ।,10,Core phrase library reviewed before V2.0.5,
4,hea-p-004,health,I have a severe headache and feel nauseous.,मुझे तेज सिरदर्द है और जी मिचला रहा है।,8,Core phrase library reviewed before V2.0.5,
5,hea-p-005,health,Have you had any other symptoms?,क्या आपको कोई अन्य लक्षण भी हुए हैं?,6,Core phrase library reviewed before V2.0.5,
6,hea-p-006,health,I vomited last night and again this morning.,मुझे कल रात और आज सुबह फिर उल्टी हुई।,8,Core phrase library reviewed before V2.0.5,
7,hea-p-007,health,I would like you to have a blood test.,मैं चाहता/चाहती हूँ कि आप रक्त जाँच करवाएँ।,9,Core phrase library reviewed before V2.0.5,
8,hea-p-008,health,I will prescribe medicine for the nausea.,मैं जी मिचलाने के लिए दवा लिख दूँगा/दूँगी।,7,Core phrase library reviewed before V2.0.5,
9,hea-p-009,health,Take one tablet twice a day after food.,भोजन के बाद दिन में दो बार एक गोली लें।,8,Core phrase library reviewed before V2.0.5,
10,hea-p-010,health,Do not exceed the recommended dose.,बताई गई खुराक से अधिक दवा न लें।,6,Core phrase library reviewed before V2.0.5,
11,hea-p-011,health,Please go to the pathology laboratory next door.,कृपया बगल की पैथोलॉजी प्रयोगशाला में जाएँ।,8,Core phrase library reviewed before V2.0.5,
12,hea-p-012,health,The results should be available within two days.,परिणाम दो दिनों के भीतर उपलब्ध हो जाने चाहिए।,8,Core phrase library reviewed before V2.0.5,
13,hea-p-013,health,Do I really need this test?,क्या मुझे यह जाँच सचमुच करवानी जरूरी है?,6,Core phrase library reviewed before V2.0.5,
14,hea-p-014,health,This test is to rule out a more serious condition.,यह जाँच किसी अधिक गंभीर बीमारी की संभावना को दूर करने के लिए है।,10,Core phrase library reviewed before V2.0.5,
15,hea-p-015,health,Please come back if the pain continues.,यदि दर्द जारी रहे तो कृपया वापस आएँ।,7,Core phrase library reviewed before V2.0.5,
16,hea-p-016,health,Seek urgent medical help if your symptoms get worse.,लक्षण बिगड़ें तो तुरंत चिकित्सकीय सहायता लें।,9,Core phrase library reviewed before V2.0.5,
17,hea-p-017,health,Are you allergic to any medicine?,क्या आपको किसी दवा से एलर्जी है?,6,Core phrase library reviewed before V2.0.5,
18,hea-p-018,health,Please bring your Medicare card.,कृपया अपना मेडिकेयर कार्ड साथ लाएँ।,5,Core phrase library reviewed before V2.0.5,
19,hea-p-019,health,The doctor has referred you to a specialist.,चिकित्सक ने आपको विशेषज्ञ के पास भेजा है।,8,Core phrase library reviewed before V2.0.5,
20,hea-p-020,health,You will need a follow-up appointment.,आपको दोबारा जाँच के लिए अपॉइंटमेंट लेना होगा।,6,Core phrase library reviewed before V2.0.5,
21,hea-p-021,health,Your information will remain confidential.,आपकी जानकारी गोपनीय रखी जाएगी।,5,Core phrase library reviewed before V2.0.5,
22,hea-p-022,health,Please rest and drink plenty of water.,कृपया आराम करें और पर्याप्त पानी पिएँ।,7,Core phrase library reviewed before V2.0.5,
23,hea-p-023,health,Stop taking the medicine if you develop a rash.,यदि त्वचा पर चकत्ते हों तो दवा लेना बंद कर दें।,9,Core phrase library reviewed before V2.0.5,
24,hea-p-024,health,Thank you for explaining everything clearly.,सब कुछ स्पष्ट रूप से समझाने के लिए धन्यवाद।,6,Core phrase library reviewed before V2.0.5,
25,hou-p-001,housing,I am calling to ask about rental bond assistance.,मैं किराये के बॉन्ड की सहायता के बारे में पूछने के लिए फोन कर रहा/रही हूँ।,9,Core phrase library reviewed before V2.0.5,
26,hou-p-002,housing,You may be eligible for an interest-free bond loan.,आप ब्याज-मुक्त बॉन्ड ऋण के लिए पात्र हो सकते हैं।,9,Core phrase library reviewed before V2.0.5,
27,hou-p-003,housing,A bond is a security deposit for the rental property.,बॉन्ड किराये की संपत्ति के लिए सुरक्षा जमा राशि है।,10,Core phrase library reviewed before V2.0.5,
28,hou-p-004,housing,The landlord may ask for the bond before you move in.,मकान मालिक घर में प्रवेश से पहले बॉन्ड माँग सकता है।,11,Core phrase library reviewed before V2.0.5,
29,hou-p-005,housing,The bond is held by the relevant tenancy authority.,बॉन्ड संबंधित किरायेदारी प्राधिकरण के पास रखा जाता है।,9,Core phrase library reviewed before V2.0.5,
30,hou-p-006,housing,You must complete an application form.,आपको आवेदन पत्र पूरा करना होगा।,6,Core phrase library reviewed before V2.0.5,
31,hou-p-007,housing,Please provide proof of identity and income.,कृपया पहचान और आय का प्रमाण दें।,7,Core phrase library reviewed before V2.0.5,
32,hou-p-008,housing,How many bedrooms does the property have?,संपत्ति में कितने शयनकक्ष हैं?,7,Core phrase library reviewed before V2.0.5,
33,hou-p-009,housing,How many people will live in the property?,संपत्ति में कितने लोग रहेंगे?,8,Core phrase library reviewed before V2.0.5,
34,hou-p-010,housing,The amount depends on your household circumstances.,राशि आपके परिवार की परिस्थितियों पर निर्भर करती है।,7,Core phrase library reviewed before V2.0.5,
35,hou-p-011,housing,This assistance is only for the rental bond.,यह सहायता केवल किराये के बॉन्ड के लिए है।,8,Core phrase library reviewed before V2.0.5,
36,hou-p-012,housing,Other support may be available for moving costs.,स्थानांतरण खर्च के लिए अन्य सहायता उपलब्ध हो सकती है।,8,Core phrase library reviewed before V2.0.5,
37,hou-p-013,housing,How do I repay the loan?,मैं ऋण का पुनर्भुगतान कैसे करूँ?,6,Core phrase library reviewed before V2.0.5,
38,hou-p-014,housing,You can arrange repayments with the housing office.,आप आवास कार्यालय के साथ पुनर्भुगतान की व्यवस्था कर सकते हैं।,8,Core phrase library reviewed before V2.0.5,
39,hou-p-015,housing,Please check the current eligibility rules before applying.,आवेदन से पहले वर्तमान पात्रता नियमों की जाँच करें।,8,Core phrase library reviewed before V2.0.5,
40,hou-p-016,housing,The property needs an urgent repair.,संपत्ति में तत्काल मरम्मत की आवश्यकता है।,6,Core phrase library reviewed before V2.0.5,
41,hou-p-017,housing,There is mould in the bedroom.,शयनकक्ष में फफूंद है।,6,Core phrase library reviewed before V2.0.5,
42,hou-p-018,housing,I reported the water leak last week.,मैंने पिछले सप्ताह पानी के रिसाव की सूचना दी थी।,7,Core phrase library reviewed before V2.0.5,
43,hou-p-019,housing,The landlord has issued a notice.,मकान मालिक ने नोटिस जारी किया है।,6,Core phrase library reviewed before V2.0.5,
44,hou-p-020,housing,I would like to discuss a repayment plan.,मैं पुनर्भुगतान योजना पर चर्चा करना चाहता/चाहती हूँ।,8,Core phrase library reviewed before V2.0.5,
45,hou-p-021,housing,Please keep copies of all documents.,कृपया सभी दस्तावेजों की प्रतियाँ रखें।,6,Core phrase library reviewed before V2.0.5,
46,hou-p-022,housing,You may request mediation for the dispute.,आप विवाद के लिए मध्यस्थता का अनुरोध कर सकते हैं।,7,Core phrase library reviewed before V2.0.5,
47,hou-p-023,housing,The inspection has been scheduled for Friday.,निरीक्षण शुक्रवार के लिए निर्धारित किया गया है।,7,Core phrase library reviewed before V2.0.5,
48,hou-p-024,housing,Thank you for explaining the application process.,आवेदन प्रक्रिया समझाने के लिए धन्यवाद।,7,Core phrase library reviewed before V2.0.5,
49,emp-p-001,employment,I would like to enquire about current job vacancies.,मैं वर्तमान नौकरी की रिक्तियों के बारे में पूछना चाहता/चाहती हूँ।,9,Core phrase library reviewed before V2.0.5,
50,emp-p-002,employment,Are you hiring at the moment?,क्या आप इस समय भर्ती कर रहे हैं?,6,Core phrase library reviewed before V2.0.5,
51,emp-p-003,employment,We are looking for a warehouse assistant.,हम एक गोदाम सहायक की तलाश कर रहे हैं।,7,Core phrase library reviewed before V2.0.5,
52,emp-p-004,employment,The job involves picking and packing orders.,इस नौकरी में सामान चुनना और ऑर्डर पैक करना शामिल है।,7,Core phrase library reviewed before V2.0.5,
53,emp-p-005,employment,My skills and experience suit this position.,मेरे कौशल और अनुभव इस पद के अनुकूल हैं।,7,Core phrase library reviewed before V2.0.5,
54,emp-p-006,employment,Do you have an up-to-date resume?,क्या आपके पास अद्यतन रिज़्यूमे है?,6,Core phrase library reviewed before V2.0.5,
55,emp-p-007,employment,Please describe your recent work experience.,कृपया अपने हाल के कार्य अनुभव का वर्णन करें।,6,Core phrase library reviewed before V2.0.5,
56,emp-p-008,employment,I have five years of delivery experience.,मेरे पास सामान पहुँचाने का पाँच वर्षों का अनुभव है।,7,Core phrase library reviewed before V2.0.5,
57,emp-p-009,employment,I have also worked in an Australian workplace.,मैंने ऑस्ट्रेलिया में भी काम किया है।,8,Core phrase library reviewed before V2.0.5,
58,emp-p-010,employment,Please add that experience to your resume.,कृपया उस अनुभव को अपने रिज़्यूमे में जोड़ें।,7,Core phrase library reviewed before V2.0.5,
59,emp-p-011,employment,Send your application to the email address on this card.,अपना आवेदन इस कार्ड पर दिए ईमेल पते पर भेजें।,10,Core phrase library reviewed before V2.0.5,
60,emp-p-012,employment,Human Resources will contact shortlisted applicants.,मानव संसाधन विभाग चयनित आवेदकों से संपर्क करेगा।,6,Core phrase library reviewed before V2.0.5,
61,emp-p-013,employment,What is the closing date for applications?,आवेदन की अंतिम तिथि क्या है?,7,Core phrase library reviewed before V2.0.5,
62,emp-p-014,employment,Please apply as soon as possible.,कृपया जितनी जल्दी हो सके आवेदन करें।,6,Core phrase library reviewed before V2.0.5,
63,emp-p-015,employment,The interview will take approximately thirty minutes.,साक्षात्कार में लगभग तीस मिनट लगेंगे।,7,Core phrase library reviewed before V2.0.5,
64,emp-p-016,employment,Bring your licence and certificates to the interview.,साक्षात्कार में अपना लाइसेंस और प्रमाणपत्र लाएँ।,8,Core phrase library reviewed before V2.0.5,
65,emp-p-017,employment,The position includes day and evening shifts.,इस पद में दिन और शाम की पालियाँ शामिल हैं।,7,Core phrase library reviewed before V2.0.5,
66,emp-p-018,employment,Are you available to work on weekends?,क्या आप सप्ताहांत में काम करने के लिए उपलब्ध हैं?,7,Core phrase library reviewed before V2.0.5,
67,emp-p-019,employment,The hourly rate will be discussed at the interview.,प्रति घंटा दर पर साक्षात्कार में चर्चा होगी।,9,Core phrase library reviewed before V2.0.5,
68,emp-p-020,employment,You will receive workplace safety training.,आपको कार्यस्थल सुरक्षा प्रशिक्षण दिया जाएगा।,6,Core phrase library reviewed before V2.0.5,
69,emp-p-021,employment,The first three months are a probation period.,पहले तीन महीने परिवीक्षा अवधि हैं।,8,Core phrase library reviewed before V2.0.5,
70,emp-p-022,employment,Please let us know if you need reasonable adjustments.,यदि आपको उचित सहायता या बदलाव की आवश्यकता हो तो हमें बताएँ।,9,Core phrase library reviewed before V2.0.5,
71,emp-p-023,employment,Thank you for considering my application.,मेरे आवेदन पर विचार करने के लिए धन्यवाद।,6,Core phrase library reviewed before V2.0.5,
72,emp-p-024,employment,We will contact you after reviewing your documents.,दस्तावेजों की समीक्षा के बाद हम आपसे संपर्क करेंगे।,8,Core phrase library reviewed before V2.0.5,
73,leg-p-001,legal,Please tell me what happened.,कृपया बताइए क्या हुआ।,5,Core phrase library reviewed before V2.0.5,
